Generation,Vial,Diet,DietHistory,Mass,WingLength,LarvalTime,PupalTime
F2,5,standard,RSS,1.3,1.988,6.5,4
F2,4,standard,RSS,1.4,1.988,5.5,4
F2,5,standard,RRS,1.3,1.989,5.5,4
F2,4,poor,PRP,1.3,1.989,5.5,4
F2,4,standard,RRS,1.5,1.989,6.5,3
F2,7,poor,RPP,1.5,1.989,6.5,3
F2,8,poor,RRP,1.5,1.99,5.5,4
F2,3,standard,PPS,1.4,1.99,5.5,4
F2,6,standard,RSS,1.3,1.991,5.5,4
F2,9,poor,RRP,1.3,1.991,4.5,4
F2,8,poor,RRP,1.2,1.991,4.5,4
F2,6,standard,RSS,1.3,1.991,5.5,3
F2,4,standard,RSS,1.6,1.991,5.5,4
F2,7,poor,PSP,1.4,1.991,5.5,5
F2,2,standard,SSS,1.6,1.991,5.5,4
F2,4,poor,PSP,1.3,1.992,6.5,3
F2,3,standard,PPS,1.8,1.992,5.5,4
F2,5,standard,SSS,1.4,1.992,5.5,4
F2,2,standard,PPS,1.4,1.992,5.5,3
F2,7,poor,RPP,1.3,1.992,6.5,2
F2,7,standard,PPS,1.7,1.992,5.5,5
F2,2,standard,RRS,1.7,1.992,5.5,4
F2,5,rich,PRR,1.5,1.993,4.5,4
F2,4,standard,RRS,1.4,1.993,5.5,4
F2,3,standard,SSS,1.4,1.993,5.5,4
F2,6,standard,PPS,1.5,1.993,4.5,5
F2,6,poor,PSP,0.9,1.993,8.5,4
F2,2b,poor,RRP,1.1,1.993,6.5,4
F2,6,standard,PSS,1.5,1.994,5.5,4
F2,2,standard,SSS,1.5,1.994,5.5,4
F2,8,standard,PSS,1.6,1.995,5.5,4
F2,8,poor,RPP,1.3,1.995,5.5,3
F2,3,standard,RRS,1.4,1.995,5.5,4
F2,7,standard,PSS,1.6,1.996,5.5,4
F2,9,standard,RSS,1.4,1.996,5.5,4
F2,8,standard,RSS,1.3,1.996,5.5,4
F2,2,rich,PPR,1.5,1.997,4.5,3
F2,7,standard,RSS,1.3,1.998,5.5,4
F2,4,poor,PSP,1.2,1.998,6.5,4
F2,6,standard,PPS,1.5,1.998,5.5,4
F2,8,standard,PPS,1.7,1.998,5.5,5
F2,2,standard,PSS,1.4,1.999,5.5,4
F2,3,poor,PSP,1.3,1.999,5.5,4
F2,5,rich,RRR,1.2,1.999,3.5,5
F2,4,rich,RRR,1.4,2,3.5,4
F2,6,poor,RRP,1.2,2,5.5,4
F2,1,rich,PPR,1.4,2.001,4.5,4
F2,7,rich,RRR,1.5,2.001,4.5,3
F2,8,rich,RPR,1.4,2.001,4.5,4
F2,3,standard,SSS,1.4,2.001,5.5,4
F2,2,poor,PRP,1.5,2.001,5.5,5
F2,4,poor,PSP,1.4,2.002,6.5,5
F2,5,standard,RSS,1.3,2.002,5.5,4
F2,3,standard,PPS,1.4,2.002,5.5,4
F2,2,standard,PPS,1.3,2.002,5.5,4
F2,6,standard,PPS,1.4,2.002,5.5,4
F2,8,standard,RRS,1.6,2.002,5.5,4
F2,1,standard,PPS,1.4,2.003,5.5,3
F2,6,standard,PSS,1.3,2.003,5.5,4
F2,9,standard,RSS,1.5,2.003,5.5,4
F2,1,standard,RRS,1.9,2.003,5.5,4
F2,8,standard,PSS,1.7,2.004,5.5,4
F2,2,standard,RRS,1.5,2.004,5.5,4
F2,8,rich,RPR,1.4,2.004,4.5,3
F2,3,standard,RSS,1.4,2.004,5.5,4
F2,3,rich,RPR,1.5,2.004,3.5,4
F2,2,standard,PPS,1.5,2.005,5.5,4
F2,2,standard,SSS,1.6,2.005,5.5,4
F2,5,standard,RRS,1.4,2.005,5.5,3
F2,1,standard,RRS,1.6,2.005,5.5,4
F2,2,poor,PSP,1.3,2.005,6.5,5
F2,3,standard,PSS,1.6,2.006,5.5,4
F2,7,rich,RSR,1.7,2.006,3.5,5
F2,4,poor,PSP,1.2,2.006,6.5,5
F2,2,poor,PSP,1.6,2.008,6.5,4
F2,8,standard,PPS,1.5,2.008,5.5,5
F2,5,poor,RPP,1.5,2.008,6.5,4
F2,6,rich,RPR,1.6,2.008,3.5,3
F2,1,standard,RSS,1.7,2.008,5.5,5
F2,1,standard,RSS,1.6,2.008,5.5,4
F2,2,standard,PPS,1.4,2.008,5.5,4
F2,1,standard,PSS,1.5,2.009,5.5,4
F2,2,standard,RRS,1.5,2.009,5.5,4
F2,4,rich,PPR,1.3,2.009,4.5,4
F2,2,standard,PSS,1.5,2.009,5.5,4
F2,3,standard,RRS,1.7,2.009,5.5,4
F2,1,rich,RRR,1.7,2.01,3.5,4
F2,2,rich,RRR,1.8,2.01,3.5,5
F2,1,standard,PPS,1.4,2.01,5.5,4
F2,6,standard,PPS,1.5,2.01,4.5,4
F2,4,standard,PSS,1.7,2.01,5.5,4
F2,4,standard,SSS,1.5,2.011,5.5,4
F2,6,standard,PSS,1.5,2.011,5.5,4
F2,8,poor,RPP,1.1,2.012,6.5,4
F2,5,poor,RPP,1.4,2.012,6.5,4
F2,4,rich,RPR,1.2,2.012,3.5,5
F2,2,rich,PRR,1.3,2.012,4.5,3
F2,6,standard,PPS,1.5,2.012,5.5,4
F2,4,standard,RSS,1.3,2.012,5.5,4
F2,1,standard,PPS,1.3,2.013,5.5,3
F2,8,poor,RRP,1.4,2.013,4.5,4
F2,9,standard,RSS,1.6,2.014,5.5,4
F2,1,poor,PPP,1.4,2.014,7.5,4
F2,5,standard,PSS,1.5,2.014,5.5,5
F2,2,standard,RRS,1.5,2.014,5.5,4
F2,3,standard,PSS,1.2,2.015,5.5,4
F2,1,standard,PPS,1.6,2.015,5.5,4
F2,5,poor,RPP,1.6,2.015,4.5,4
F2,4,standard,SSS,1.5,2.015,5.5,4
F2,2,rich,RSR,1.6,2.015,4.5,3
F2,2,standard,PSS,1.3,2.016,5.5,4
F2,4,standard,PSS,1.5,2.016,5.5,4
F2,1,standard,SSS,1.4,2.016,5.5,4
F2,7,standard,PPS,1.4,2.017,4.5,4
F2,4,standard,RRS,1.6,2.017,5.5,4
F2,8,poor,PSP,1.3,2.017,4.5,4
F2,8,rich,RPR,1.5,2.017,4.5,4
F2,7,standard,RSS,1.5,2.017,5.5,4
F2,3,standard,PPS,1.4,2.017,5.5,3
F2,3,standard,PSS,1.6,2.017,5.5,5
F2,4,rich,RSR,1.9,2.017,4.5,4
F2,5,rich,PPR,1.2,2.018,4.5,4
F2,1,standard,PPS,1.5,2.018,5.5,4
F2,7,standard,PPS,1.3,2.019,4.5,4
F2,5,poor,RPP,1.4,2.02,4.5,4
F2,2,standard,PSS,1.5,2.02,5.5,4
F2,2,standard,PSS,1.4,2.02,5.5,5
F2,7,rich,RPR,1.5,2.021,2.5,3
F2,3,poor,PSP,1.4,2.021,5.5,5
F2,4,rich,PPR,1.3,2.021,4.5,3
F2,6,rich,PRR,1.6,2.021,4.5,4
F2,8,poor,PSP,1.5,2.021,4.5,4
F2,6,rich,PPR,1.5,2.022,4.5,4
F2,5,poor,PPP,1.3,2.022,6.5,4
F2,5,standard,RSS,1.3,2.023,5.5,4
F2,5,standard,RRS,1.4,2.023,5.5,3
F2,6,standard,RRS,1.6,2.023,5.5,4
F2,5,rich,PPR,1.3,2.024,4.5,4
F2,5,standard,RRS,1.6,2.024,5.5,3
F2,2,poor,PSP,1.4,2.024,6.5,5
F2,4,rich,PPR,1.3,2.024,4.5,4
F2,1,standard,RSS,1.5,2.025,5.5,4
F2,1,standard,PSS,1.6,2.025,5.5,4
F2,2,rich,RRR,1.8,2.025,4.5,4
F2,10,rich,PRR,1.3,2.025,4.5,4
F2,1,poor,PSP,1.6,2.025,5.5,4
F2,7,poor,RPP,1.5,2.025,4.5,5
F2,2,rich,PRR,1.5,2.026,4.5,4
F2,4,poor,PSP,1.4,2.026,5.5,5
F2,8,standard,RSS,1.5,2.027,4.5,5
F2,2,rich,RRR,1.8,2.027,4.5,4
F2,3,standard,RSS,1.5,2.027,5.5,4
F2,8,rich,RPR,1.5,2.027,4.5,4
F2,7,standard,PPS,1.8,2.027,5.5,5
F2,3,rich,RRR,1.8,2.027,4.5,4
F2,8,poor,RRP,1.3,2.028,4.5,5
F2,3,rich,RPR,1.7,2.028,3.5,4
F2,8,poor,RRP,1.3,2.028,4.5,4
F2,6,standard,RRS,1.5,2.028,5.5,4
F2,1,standard,SSS,1.4,2.029,5.5,4
F2,6,standard,PPS,1.7,2.029,5.5,4
F2,8,standard,RRS,1.7,2.029,5.5,4
F2,4,rich,RSR,1.9,2.029,4.5,4
F2,4,rich,PRR,1.7,2.029,4.5,4
F2,5,standard,RRS,1.6,2.03,5.5,4
F2,5,rich,PRR,1.7,2.03,4.5,4
F2,2,standard,PPS,1.4,2.03,5.5,4
F2,4,standard,PSS,1.4,2.03,5.5,3
F2,6,rich,RRR,1.7,2.03,3.5,4
F2,7,standard,RSS,1.4,2.03,5.5,4
F2,4,rich,PPR,1.4,2.031,4.5,4
F2,9,poor,RRP,1.4,2.032,5.5,4
F2,9,standard,RSS,1.7,2.032,5.5,4
F2,3,standard,PPS,1.7,2.032,5.5,4
F2,8,standard,PPS,1.9,2.032,5.5,5
F2,3,poor,RPP,1.5,2.032,6.5,5
F2,5,standard,RSS,1.4,2.033,5.5,4
F2,3,standard,RSS,1.4,2.033,5.5,4
F2,3,rich,PRR,1.4,2.033,4.5,4
F2,5,rich,RRR,1.5,2.033,3.5,5
F2,1,rich,PPR,1.7,2.033,4.5,5
F2,5,rich,PRR,1.4,2.033,4.5,4
F2,8,poor,PSP,1.6,2.034,4.5,4
F2,6,rich,RSR,1.3,2.034,3.5,5
F2,3,rich,RPR,1.6,2.034,3.5,4
F2,5,rich,RPR,1.2,2.034,1.5,5
F2,4,standard,SSS,1.9,2.034,5.5,5
F2,4,standard,RRS,1.4,2.035,5.5,4
F2,5,rich,PPR,1.5,2.035,4.5,4
F2,1,standard,PSS,1.6,2.036,5.5,4
F2,8,standard,RSS,1.7,2.036,5.5,4
F2,8,poor,PSP,1.3,2.036,4.5,3
F2,8,standard,PPS,1.6,2.037,5.5,5
F2,4,standard,RRS,1.6,2.037,5.5,4
F2,3,rich,RSR,1.7,2.037,4.5,4
F2,7,rich,RSR,1.8,2.037,3.5,5
F2,5,rich,PPR,1.5,2.038,4.5,4
F2,3,rich,RPR,1.5,2.038,3.5,4
F2,3,rich,RSR,1.8,2.038,4.5,4
F2,7,standard,RRS,1.6,2.039,5.5,4
F2,5,standard,PSS,1.5,2.039,5.5,4
F2,6,standard,PPS,1.7,2.039,5.5,4
F2,7,standard,RRS,1.5,2.04,5.5,4
F2,2,standard,PPS,1.5,2.04,5.5,4
F2,4,rich,PRR,1.3,2.04,4.5,4
F2,1,rich,RSR,1.8,2.04,4.5,4
F2,6,rich,PPR,1.5,2.04,4.5,4
F2,4,rich,RSR,1.7,2.04,4.5,4
F2,7,standard,PSS,1.5,2.041,5.5,4
F2,7,standard,RRS,1.6,2.042,5.5,4
F2,1,standard,SSS,1.4,2.042,5.5,4
F2,9,rich,PRR,1.5,2.042,4.5,4
F2,5,standard,RSS,1.5,2.042,5.5,4
F2,7,standard,RSS,1.5,2.043,5.5,4
F2,8,standard,RRS,1.5,2.043,5.5,4
F2,7,rich,RSR,1.8,2.043,3.5,4
F2,3,rich,RSR,1.7,2.044,4.5,4
F2,4,standard,SSS,1.6,2.044,5.5,4
F2,8,poor,RRP,1.5,2.045,5.5,4
F2,6,rich,RRR,1.4,2.045,3.5,5
